id,datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,pressure,precipAccumulation,ozone,countRents_prev_year,countRents
2018010100,2018-01-01 00:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.18,4.39,3.82,0.79,4.29,7.8,250,0.83,0,10.003,,997.33,,,932,754
2018010101,2018-01-01 01:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.93,4.38,3.55,0.79,3.73,6.43,251,0.4,0,10.003,,998.29,,,892,630
2018010102,2018-01-01 02:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.33,4.02,3.18,0.8,3.12,5.64,249,0.16,0,10.003,,999.46,,,339,400
2018010103,2018-01-01 03:00:00,Clear,clear-night,0,0,6.07,3.66,2.88,0.8,3.2,5.69,241,0.08,0,10.003,,999.55,,,282,249
2018010104,2018-01-01 04:00:00,Mostly Cloudy,partly-cloudy-night,0,0,5.88,3.54,2.84,0.81,3.03,5.69,233,0.65,0,10.003,,999.65,,,185,168
2018010105,2018-01-01 05:00:00,Partly Cloudy,partly-cloudy-night,0,0,5.77,3.67,2.67,0.8,2.68,5.17,234,0.44,0,10.003,,999.45,,,149,140
2018010106,2018-01-01 06:00:00,Partly Cloudy,partly-cloudy-night,0,0,5.7,3.79,2.81,0.82,2.43,4.63,224,0.19,0,10.003,,998.74,,,100,96
2018010107,2018-01-01 07:00:00,Clear,clear-night,0,0,5.68,3.85,3.08,0.83,2.33,4.17,216,0.11,0,10.003,,998.37,,,77,87
2018010108,2018-01-01 08:00:00,Clear,clear-night,0,0,5.78,3.97,3.2,0.84,2.32,3.79,210,0,0,10.003,,997.47,,,89,104
2018010109,2018-01-01 09:00:00,Clear,clear-day,0,0,5.86,5.04,3.28,0.84,1.41,2.11,188,0.03,0,10.003,,996.62,,,161,167
2018010110,2018-01-01 10:00:00,Partly Cloudy,partly-cloudy-day,0,0,6.28,6.28,3.81,0.84,1.09,1.36,173,0.45,0,10.003,,995.92,,,312,318
2018010111,2018-01-01 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0171,0.1,6.7,6.7,4.63,0.87,1.09,1.44,178,0.54,0,10.003,rain,995.43,,,456,525
2018010112,2018-01-01 12:00:00,Mostly Cloudy,partly-cloudy-day,0.038,0.09,7.19,7.19,5.19,0.87,0.81,1.78,235,0.83,0,10.003,rain,995.33,,,625,717
2018010113,2018-01-01 13:00:00,Mostly Cloudy,partly-cloudy-day,0.1056,0.31,7.2,5.6,5.35,0.88,2.38,3.85,253,0.75,0,9.791,rain,995.63,,,507,770
